,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
5969,omn,2004,energy,2.6106,14.3183,11708.3,27.486,3.8057,5.3788,10.95,1.5694,1.1794,15.772,94.57,13.7245,34.0719,1.2817,3.9646,32.9403,18.9081,55.651,108.507,132.16,211.925,7.482,3.8893,0.5245,14.7014,18.5713,96.0142,energy,0.4758,9.7838,11181.9,20.2299,3.2894,4.3015,9.4216,0.9153,0.8903,3.7222,48.2766,8.9317,24.5603,0.3372,1.5091,20.5105,9.3082,0.4855,0.2104,3.523,94.4346,0.5025,0.1487,0.1642,0.5704,1.6549,1.3062,0.846243,0.812758,0.881311,0.872699,0.858528
6090,phl,2004,machinery,4.6143,10.6007,1.3786,20.9464,2.8255,0.9204,3.7663,0.6521,1.1788,0.2233,3.1609,0.6592,2.5432,0.3676,85.9413,12637.3,9.0118,0.1059,30.2869,43.9579,61.4077,43.7787,5.7797,0.9631,3.677,9.2636,58.1709,machinery,1.3482,2.0594,0.2045,3.1251,0.3184,0.6929,2.4251,0.3586,1.1336,0.1115,1.5117,0.5496,2.5763,0.3308,36.3684,12057.4,3.584,0.0025,0.35,1.0665,20.7733,9.9607,0.2069,0.0557,1.2064,0.6618,0.5226,0.304175,0.68941,0.62114,0.444191,0.615216
6185,qat,2004,energy,0.3796,0.0954,8762.32,0.9986,0.2722,0.0807,0.3981,0.0367,0.0146,0.569,482.919,1.0079,33.7773,1.2786,2.4475,2.3329,6.2777,40.5515,97.7654,43.7475,146.442,2.7882,3.3753,1.2104,26.7819,9.6014,75.331,energy,0.0724,0.0698,8604.11,0.0548,0.0186,0.0265,0.2797,0.0061,0.0064,0.2186,418.929,0.134,22.5499,0.1772,0.773,1.31,4.0333,0.3178,0.7286,4.8438,82.7737,0.3541,0.5429,0.9074,11.5451,2.1293,1.5061,0.562613,0.728488,0.709614,0.588051,0.722283
6239,rus,2004,energy,1195.77,347.357,53703.1,2252.16,163.955,108.021,97.4293,59.4716,1290.57,167.834,5570.73,143.794,5321.87,273.146,569.921,2077.25,131.791,393.502,3799.77,2265.38,5605.39,156.877,27.8353,64.3071,816.719,410.05,4214.55,energy,61.11,356.169,68470.2,273.588,19.1879,91.5069,24.4693,19.1024,864.422,122.939,4950.26,112.785,5620.67,159.614,262.875,600.24,64.5683,4.3327,84.9837,33.1641,2119.66,21.736,4.8945,15.1485,153.049,27.0848,20.1322,0.378757,0.51875,0.558545,0.463463,0.539383
6293,sau,2004,energy,135.004,20.4719,99953.6,222.946,71.9667,43.5844,55.0217,14.7167,9.7893,143.722,4492.12,151.286,148.28,30.5315,104.368,215.02,176.875,285.076,943.071,792.492,2831.59,45.6932,49.6115,12.0625,155.767,82.571,732.252,energy,8.8168,13.854,93490.7,27.2358,5.3093,18.609,1.6369,4.4376,1.7066,60.2763,3119.96,16.2581,59.9999,10.2117,5.3456,49.5683,24.3643,1.3509,6.8412,26.2407,772.458,3.7285,2.7778,7.5354,51.5085,13.1853,7.7518,0.686865,0.836647,0.861994,0.850735,0.841347
6603,twn,2004,machinery,10.2149,15.2225,14.8156,27.6672,8.0398,34.7235,8.9124,1.8682,6.4433,7.7817,99.2405,10.4051,33.5163,42.5496,140.93,43527.6,98.59,5.3687,563.156,87.5913,27.9958,31.6357,11.311,7.8641,28.2481,72.6163,389.816,machinery,0.9523,2.7462,7.6299,4.3772,0.2642,34.5869,4.2894,1.5763,6.456,4.3023,93.0335,9.6879,33.7658,38.2207,73.239,38573.9,74.4072,0.1413,8.699,3.9627,14.6066,4.1027,2.7956,0.9116,21.0341,7.0416,7.157,0.264231,0.551825,0.51667,0.306318,0.521982
6752,ven,2004,energy,47.9604,72.1501,27884.4,314.169,76.1647,20.9725,42.9447,54.6376,17.6458,54.0695,533.926,39.0956,1365.74,100.151,214.715,128.009,132.534,45.6693,695.826,859.429,813.969,45.3625,4.6971,14.2646,65.0533,117.614,585.02,energy,3.2348,46.6805,27255.6,12.3012,6.3694,2.9258,0.5774,2.6741,4.8329,3.8023,242.349,30.5634,1375.58,36.3482,30.6998,25.0814,3.9055,0.3498,0.1951,7.446,153.309,2.1235,0.4299,0.5009,5.6337,2.9897,4.5991,0.619315,0.790071,0.872419,0.780057,0.812851
6914,are,2007,energy,12.7501,17.1269,42969.2,32.1236,5.149,8.8165,9.5759,1.6433,2.0993,26.9943,1798.16,24.5966,78.4645,4.9071,18.5294,80.2032,41.6418,347.555,166.417,872.418,967.619,31.7891,51.5505,10.8576,190.801,117.607,216.131,energy,1.4379,15.9405,40902.7,15.2035,1.8028,5.0723,3.229,0.338,1.1361,14.3221,380.829,9.1609,63.2226,2.3944,6.9148,57.8155,29.7998,2.5054,1.7235,34.3424,340.313,2.01722,4.193,5.5856,88.769,10.4706,5.5796,0.543315,0.598639,0.578432,0.548006,0.589312
7049,aze,2007,energy,139.737,8.2483,18774.3,79.814,27.3121,5.4846,1.0255,1.2332,0.613,0.5641,269.281,1.0964,137.659,1.0311,3.9602,14.0553,3.2569,14.1868,283.242,92.8708,339.776,10.1,0.3395,0.5012,25.8433,27.765,250.717,energy,17.9635,1.6709,17437.4,9.5421,1.8449,5.0631,0.9316,1.1879,0.5667,0.3578,246.169,0.4518,137.698,0.8893,2.283,7.3309,2.9851,0.2995,2.5134,2.1823,195.012,1.16624,0.1125,0.3442,14.617,1.3707,6.5508,0.671784,0.884034,0.931866,0.889277,0.902105
7318,bwa,2007,otherprim,0.0375,2949.65,0.0073,1.4365,0.2388,0.0721,0.0686,0.0019,0.0069,0.0161,0.0374,0.0242,0.022,0.0458,0.0471,0.0341,1.0851,0.0171,26.8234,0.259,0.3803,0.011,0.0742,0.0151,0.5508,0.0918,3.0182,otherprim,0.0034,2929.1,0.0,0.2439,0.0095,0.0683,0.0602,0.0016,0.001,0.0112,0.0221,0.0017,0.022,0.0106,0.0406,0.029,0.3395,0.0017,0.1392,0.0187,0.2518,0.0041,0.0074,0.007,0.239,0.023,0.0913,0.882572,0.571074,0.630328,0.564619,0.596346
